year,month,toyota,ford,mitsubishi,honda,peugeot,thaco_total,others,total_vama,total_vama_ex_hyundai,vinfast,vinfast_approx,hyundai_tc,total_market
2023,1,3023,2360,1145,1494,220,4476,1280,13998,13998,,,3496,
2023,2,4887,2632,2279,1385,237,6971,2145,20536,20536,,,5467,
2023,3,5656,3676,3656,1489,250,8445,3094,26266,26266,,,5773,
2023,4,4247,3298,1700,1944,170,6658,2650,20667,20667,,,4592,
2023,5,3734,2336,1803,1757,170,6459,3007,19266,19266,,,3575,
2023,6,5090,3121,2264,1419,185,7366,2448,21893,21893,,,5108,
2023,7,3813,3150,3518,1597,191,8237,2364,22870,22870,,,4035,
2023,8,3922,2795,2418,1431,193,7814,2070,20643,20643,,,3145,
2023,9,4118,3118,2863,2554,226,8960,2154,23993,23993,,,5977,
2023,10,4041,3062,2457,2148,235,9471,2044,23458,23458,,,7458,
2023,11,5833,3922,2517,2525,408,9140,2094,26439,26439,,,7980,
2023,12,9050,4854,4274,4059,553,10683,2877,36350,36350,,,10884,
2024,1,2208,2671,1793,2023,224,5219,2559,16697,16697,,,3569,
2024,2,1248,1664,818,1264,167,3643,1213,10017,10017,,,2033,
2024,3,3865,3686,3439,2832,231,6851,3229,24133,24133,,,4542,
2024,4,4483,3053,2508,1802,210,6512,2471,21039,21039,,,4276,
2024,5,5356,3270,3151,1179,234,6465,2114,21769,21769,,,4914,
2024,6,5178,3307,2913,1381,287,7169,1761,21996,21996,,,5047,
2024,7,6479,3150,3835,2406,261,6764,1879,24774,24774,,,5329,
2024,8,4700,3270,4091,1160,257,6366,1564,21408,21408,,,4679,
2024,9,6986,3967,5385,3607,261,9425,2392,32023,32023,,,6518,
2024,10,8736,5052,4401,3606,401,10304,2614,35114,35114,,,7639,
2024,11,8695,5593,5056,4633,494,12286,2851,39608,39608,,,10303,
2024,12,8642,3492,3808,2374,463,6495,2129,27403,27403,20000.0,1.0,8316,55719.0
2025,1,3346,2452,1716,1826,193,5003,1140,15676,15676,,,3074,
2025,2,3114,2758,1792,1808,239,6096,1374,17181,17181,12500.0,1.0,3022,32703.0
2025,3,5370,4272,4412,2450,259,7304,2012,26079,26079,12100.0,1.0,5368,43547.0
2025,4,5566,3997,2038,2142,213,7346,1884,23186,23186,9588.0,0.0,4470,37244.0
2025,5,5665,4054,2172,1484,192,6961,2130,22658,22658,11496.0,0.0,4063,38217.0
2025,6,6213,4167,3663,1523,228,7894,2105,25793,25793,11382.0,0.0,4197,41372.0
2025,7,6668,4139,3231,2617,222,7550,2146,26573,26573,11479.0,0.0,3601,41653.0
2025,8,5171,3546,2180,2275,153,5949,2414,21688,21688,10922.0,0.0,3701,36311.0
2025,9,7013,4270,3805,1704,143,6581,2775,26291,26291,13914.0,0.0,4296,44501.0
2025,10,7768,5206,5082,3314,183,7581,2710,31844,31844,20380.0,0.0,5260,57484.0
2025,11,7731,5446,5056,3986,178,8612,2680,33689,33689,23186.0,0.0,5463,62338.0
2025,12,8329,6143,8960,3590,232,12065,3382,42701,42701,27649.0,0.0,6704,77054.0
2026,1,4852,5121,5039,2712,191,9267,2592,29774,29774,16172.0,0.0,5872,51818.0
2026,2,3890,2473,1784,1052,98,5037,1331,15665,15665,9903.0,0.0,3080,28648.0
2026,3,8143,4538,5086,1839,103,8787,2855,31351,31351,27609.0,0.0,4546,63506.0
2026,4,6378,2866,3439,1830,72,7756,2138,24479,24479,24774.0,0.0,3904,53157.0
2026,5,5653,3493,3111,1870,84,7341,2584,24136,24136,19503.0,0.0,3921,47560.0
2026,6,6494,2741,3158,2002,122,7365,2474,24356,24356,17955.0,0.0,3746,46057.0
